name,slug,value,date_of_information,ranking,region
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","$7,800","FY09/10 est.","154","Africa"
"Venezuela","venezuela","$7,704","2018 est.","155","South America"
"Morocco","morocco","$7,515","2019 est.","156","Africa"
"Cabo Verde","cabo-verde","$7,172","2019 est.","157","Africa"
"Belize","belize","$7,005","2019 est.","158","Central America"
"Uzbekistan","uzbekistan","$6,999","2019 est.","159","Central Asia"
"India","india","$6,700","2019 est.","160","South Asia"
"Angola","angola","$6,670","2019 est.","161","Africa"
"Samoa","samoa","$6,521","2019 est.","162","Australia - Oceania"
"Tonga","tonga","$6,383","2019 est.","163","Australia - Oceania"
"Gaza Strip","gaza-strip","$6,220","2019 est.","164","Middle East"
"West Bank","west-bank","$6,220","2019 est.","165","Middle East"
"Tokelau","tokelau","$6,004","2017 est.","166","Australia - Oceania"
"Niue","niue","$5,800","2003 est.","167","Australia - Oceania"
"Honduras","honduras","$5,728","2019 est.","168","Central America"
"Djibouti","djibouti","$5,535","2019 est.","169","Africa"
"Ghana","ghana","$5,413","2019 est.","170","Africa"
"Nicaragua","nicaragua","$5,407","2019 est.","171","Central America"
"Kyrgyzstan","kyrgyzstan","$5,253","2019 est.","172","Central Asia"
"Cote d'Ivoire","cote-divoire","$5,213","2019 est.","173","Africa"
"Mauritania","mauritania","$5,197","2019 est.","174","Africa"
"Burma","burma","$5,142","2019 est.","175","East Asia/Southeast Asia"
"Nigeria","nigeria","$5,136","2019 est.","176","Africa"
"Bangladesh","bangladesh","$4,754","2019 est.","177","South Asia"
"Pakistan","pakistan","$4,690","2019 est.","178","South Asia"
"Cambodia","cambodia","$4,389","2019 est.","179","East Asia/Southeast Asia"
"Papua New Guinea","papua-new-guinea","$4,355","2019 est.","180","East Asia/Southeast Asia"
"Kenya","kenya","$4,330","2019 est.","181","Africa"
"Tuvalu","tuvalu","$4,281","2019 est.","182","Australia - Oceania"
"Sao Tome and Principe","sao-tome-and-principe","$3,970","2019 est.","183","Africa"
"Sudan","sudan","$3,958","2019 est.","184","Africa"
"Marshall Islands","marshall-islands","$3,889","2018 est.","185","Australia - Oceania"
"Wallis and Futuna","wallis-and-futuna","$3,800","2004 est.","186","Australia - Oceania"
"Congo, Republic of the","congo-republic-of-the","$3,673","2019 est.","187","Africa"
"Cameroon","cameroon","$3,642","2019 est.","188","Africa"
"Timor-Leste","timor-leste","$3,553","2019 est.","189","East Asia/Southeast Asia"
"Zambia","zambia","$3,470","2019 est.","190","Africa"
"Micronesia, Federated States of","micronesia-federated-states-of","$3,464","2018 est.","191","Australia - Oceania"
"Nepal","nepal","$3,417","2019 est.","192","South Asia"
"Senegal","senegal","$3,395","2019 est.","193","Africa"
"Tajikistan","tajikistan","$3,380","2019 est.","194","Central Asia"
"Benin","benin","$3,287","2019 est.","195","Africa"
"Vanuatu","vanuatu","$3,153","2019 est.","196","Australia - Oceania"
"Comoros","comoros","$3,060","2019 est.","197","Africa"
"Haiti","haiti","$2,905","2019 est.","198","Central America"
"Syria","syria","$2,900","2015 est.","199","Middle East"
"Zimbabwe","zimbabwe","$2,836","2019 est.","200","Africa"
"Lesotho","lesotho","$2,704","2019 est.","201","Africa"
"Solomon Islands","solomon-islands","$2,663","2019 est.","202","Australia - Oceania"
"Tanzania","tanzania","$2,660","2019 est.","203","Africa"
"Guinea","guinea","$2,562","2019 est.","204","Africa"
"Yemen","yemen","$2,500","2017 est.","205","Middle East"
"Mali","mali","$2,322","2019 est.","206","Africa"
"Kiribati","kiribati","$2,272","2019 est.","207","Australia - Oceania"
"Rwanda","rwanda","$2,227","2019 est.","208","Africa"
"Gambia, The","gambia-the","$2,223","2019 est.","209","Africa"
"Ethiopia","ethiopia","$2,221","2019 est.","210","Africa"
"Uganda","uganda","$2,187","2019 est.","211","Africa"
"Burkina Faso","burkina-faso","$2,178","2019 est.","212","Africa"
"Afghanistan","afghanistan","$2,065","2019 est.","213","South Asia"
